Survived,Pclass,Sex,Age,Relatives,Fare,Embarked
0,3,0,3,1,7,1
1,1,1,4,1,71,2
1,3,1,3,0,8,1
1,1,1,4,1,53,1
0,3,0,4,0,8,1
0,3,0,3,0,8,3
0,1,0,5,0,52,1
0,3,0,1,4,21,1
1,3,1,3,2,11,1
1,2,1,2,1,30,2
1,3,1,1,2,17,1
1,1,1,5,0,27,1
0,3,0,3,0,8,1
0,3,0,4,6,31,1
0,3,1,2,0,8,1
1,2,1,5,0,16,1
0,3,0,1,5,29,3
1,2,0,5,0,13,1
0,3,1,4,1,18,1
1,3,1,4,0,7,2
0,2,0,4,0,26,1
1,2,0,4,0,13,1
1,3,1,2,0,8,3
1,1,0,3,0,36,1
0,3,1,1,4,21,1
1,3,1,4,6,31,1
0,3,0,3,0,7,2
0,1,0,3,5,263,1
1,3,1,5,0,8,3
0,3,0,4,0,8,1
0,1,0,4,0,28,2
1,1,1,4,1,147,2
1,3,1,4,0,8,3
0,2,0,6,0,10,1
0,1,0,3,1,82,2
0,1,0,4,1,52,1
1,3,0,3,0,7,2
0,3,0,3,0,8,1
0,3,1,2,2,18,1
1,3,1,2,1,11,2
0,3,1,4,1,9,1
0,2,1,3,1,21,1
0,3,0,3,0,8,2
1,2,1,1,3,42,2
1,3,1,3,0,8,3
0,3,0,5,0,8,1
0,3,0,4,1,16,3
1,3,1,4,0,8,3
0,3,0,5,2,22,2
0,3,1,2,1,18,1
0,3,0,1,5,40,1
0,3,0,3,0,8,1
1,1,1,5,1,77,2
1,2,1,3,1,26,1
0,1,0,6,1,62,2
1,1,0,3,0,36,1
1,2,1,3,0,10,1
0,3,0,3,0,7,2
1,2,1,1,3,28,1
0,3,0,1,7,47,1
0,3,0,3,0,7,2
1,1,1,4,0,80,4
0,1,0,4,1,83,1
0,3,0,1,5,28,1
0,1,0,5,0,28,2
1,3,0,4,2,15,2
1,2,1,3,0,10,1
0,3,0,3,0,8,1
1,3,1,2,6,8,1
0,3,0,3,2,9,1
0,2,0,4,0,10,1
0,3,1,2,7,47,1
0,2,0,3,0,74,1
0,3,0,3,1,14,2
1,3,0,4,0,56,1
0,3,0,3,0,8,1
0,3,0,3,0,8,1
0,3,0,3,0,8,1
1,2,0,1,2,29,1
1,3,1,3,0,12,1
0,3,0,3,0,9,1
1,3,0,3,0,10,1
1,3,1,5,0,8,3
0,1,0,3,0,47,1
